ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_ru-RU
PrintoutRelation	AccumulatedLifeInsurancePolicyToFinKnowledgeQuestionnaireHolderRelation	printoutRelations	AccumulatedLifeInsurancePolicy@AccumulatedLifeInsurancePolicyToFinKnowledgeQuestionnaireHolderRelation		AccumulatedLifeInsurancePolicyToFinKnowledgeQuestionnaireHolderRelation	Анкета фин. грамотности
PrintoutRelation	AccumulatedLifeInsurancePolicyToFinKnowledgeQuestionnaireHolderRelation	rootConfiguration	AccumulatedLifeInsurancePolicyToFinKnowledgeQuestionnaireHolderRelation@Title	AccumulatedLifeInsurancePolicyToFinKnowledgeQuestionnaireHolderRelation	AccumulatedLifeInsurancePolicyToFinKnowledgeQuestionnaireHolderRelation	Анкета фин. грамотности
