ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_ru-RU
ViewConfiguration	EconomicParametersSearchInline	rootConfiguration	EconomicParametersSearchInline@Title	EconomicParametersSearchInline	EconomicParametersSearchInline	EconomicParametersSearchInline
ViewConfiguration	EconomicParametersSearchInline	actors	EconomicParametersSearch	EconomicParametersSearch	EconomicParametersSearch	Поиск параметров экономики
