ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_ru-RU
ViewConfiguration	FailedImportedFund	dataExport	ImportRecordStatusFailedExport	ImportRecordStatusFailedExport	ImportRecordStatusFailedExport	Неудачно импортированная информация
UiSchema	FailedImportedFundUiSchema	ui-label	Export	Export	Export	Экспорт
UiSchema	FailedImportedFundUiSchema	ui-label	RecordKey	RecordKey	RecordKey	Ключ записи
UiSchema	FailedImportedFundUiSchema	ui-label	ErrorType	ErrorType	ErrorType	Тип ошибки
UiSchema	FailedImportedFundUiSchema	ui-label	ErrorMessage	ErrorMessage	ErrorMessage	Сообщение ошибки
ViewConfiguration	FailedImportedFund	rootConfiguration	FailedImportedFund@Title	FailedImportedFund	FailedImportedFund	Неудачно импортированная информация
ViewConfiguration	FailedImportedFund	actors	Administrator	Administrator	Administrator	Администратор
