ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_ru-RU	Translation_en-US
DataSchema	InsuredEventSearchDataSourceInputSchema	enum	documentState@Draft	Draft	Проект	Draft
DataSchema	InsuredEventSearchDataSourceInputSchema	enum	documentState@Confirmed	Confirmed	Подтверждено	Confirmed
DataSchema	InsuredEventSearchDataSourceInputSchema	enum	documentState@Cancelled	Cancelled	Отменено	Cancelled
