ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_ru-RU	Translation_en-US
UiSchema	RecalcInsuredSumImportFailUiSchema	ui-label	Export	Export	Экспорт	Export
UiSchema	RecalcInsuredSumImportFailUiSchema	ui-label	RecordKey	RecordKey	Номер строки	RecordKey
UiSchema	RecalcInsuredSumImportFailUiSchema	ui-label	ErrorType	ErrorType	Тип	ErrorType
UiSchema	RecalcInsuredSumImportFailUiSchema	ui-label	ErrorMessage	ErrorMessage	Описание	ErrorMessage
ViewConfiguration	RecalcInsuredSumImportFail	rootConfiguration	RecalcInsuredSumImportFail@Title	RecalcInsuredSumImportFail	Ошибки при импорте	RecalcInsuredSumImportFail
ViewConfiguration	RecalcInsuredSumImportFail	actors	RecalcInsuredSum	RecalcInsuredSum	RecalcInsuredSum	RecalcInsuredSum
