ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_ru-RU
ViewConfiguration	StrategyConfigurationLoadedDataErrorsFromExcel	actors	Administrator	Administrator	Administrator	Administrator
ViewConfiguration	StrategyConfigurationLoadedDataErrorsFromExcel	dataExport	LoadDataErrorsExport	LoadDataErrorsExport	LoadDataErrorsExport	LoadDataErrorsExport
UiSchema	StrategyConfigurationLoadedDataErrorsFromExcelUiSchema	ui-label	Export	Export	Export	Экспорт
UiSchema	StrategyConfigurationLoadedDataErrorsFromExcelUiSchema	ui-label	SourceId	SourceId	SourceId	ID ИСТОЧНИКА
UiSchema	StrategyConfigurationLoadedDataErrorsFromExcelUiSchema	ui-label	RowNumber	RowNumber	RowNumber	Номер строки
UiSchema	StrategyConfigurationLoadedDataErrorsFromExcelUiSchema	ui-label	RecordKey	RecordKey	RecordKey	КЛЮЧ ЗАПИСИ
UiSchema	StrategyConfigurationLoadedDataErrorsFromExcelUiSchema	ui-label	ErrorType	ErrorType	ErrorType	ТИП ОШИБКИ
UiSchema	StrategyConfigurationLoadedDataErrorsFromExcelUiSchema	ui-label	Message	Message	Message	СООБЩЕНИЕ ОШИБКИ
ViewConfiguration	StrategyConfigurationLoadedDataErrorsFromExcel	rootConfiguration	StrategyConfigurationLoadedDataErrorsFromExcel@Title	StrategyConfigurationLoadedDataErrorsFromExcel	StrategyConfigurationLoadedDataErrorsFromExcel	StrategyConfigurationLoadedDataErrorsFromExcel
