ApplicationRole	EntityType	Predicate	SecurityScope	AssignmentOperator
General	ServiceProvider	Allow	SPOwn	Add
General	ServiceProvider	Allow	SPSelf	Add
ServiceProviderOwnOU	ServiceProvider	Allow	SPOwnOU	Add
ServiceProviderOwnAndSubordinateOU	ServiceProvider	Allow	SPOwnAndSubordinateOU	Add
ServiceProviderAll	ServiceProvider	Allow	SPAll	Add
