ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_ru-RU
UiSchema	ReinsuranceLoadedDataErrorsFromExcelUiSchema	ui-label	SourceId	SourceId	SourceId	ИД источника
UiSchema	ReinsuranceLoadedDataErrorsFromExcelUiSchema	ui-label	ErrorMessage	ErrorMessage	Error message	Текст ошибки
UiSchema	ReinsuranceLoadedDataErrorsFromExcelUiSchema	ui-label	ErrorType	ErrorType	ErrorType	Тип ошибки
ViewConfiguration	ReinsuranceLoadedDataErrorsFromExcel	rootConfiguration	ReinsuranceLoadedDataErrorsFromExcel@Title	ReinsuranceLoadedDataErrorsFromExcel	ReinsuranceLoadedDataErrorsFromExcel	Ошибки по загруженной информации
ViewConfiguration	ReinsuranceLoadedDataErrorsFromExcel	actors	General	General	General	Импорт атрибутов перестрахования
ViewConfiguration	ReinsuranceLoadedDataErrorsFromExcel	actors	Administrator	Administrator	Administrator	Администратор
UiSchema	ReinsuranceLoadedDataErrorsFromExcelUiSchema	ui-label	Export	Export	Export	Экспорт
ViewConfiguration	ReinsuranceLoadedDataErrorsFromExcel	dataExport	LoadDataErrorsDataSourceExport	LoadDataErrorsDataSourceExport	LoadDataErrorsDataSourceExport	LoadDataErrorsDataSourceExport
