ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_ru-RU
ViewConfiguration	RelatedDocumentErrorsView	actors	General	General	General	Общий
UiSchema	RelatedDocumentErrorsViewUiSchema	ui-label	Document number	Document number	Document number	Номер документа
UiSchema	RelatedDocumentErrorsViewUiSchema	ui-label	Error message	Error message	Error message	Сообщение об ошибке (предупреждении)
UiSchema	RelatedDocumentErrorsViewUiSchema	ui-label	Business errors message	Business errors message	Business errors message	Ошибка (предупреждение)
UiSchema	RelatedDocumentErrorsViewUiSchema	ui-label	Error date	Error date	Error date	Дата сообщения
ViewConfiguration	RelatedDocumentErrorsView	rootConfiguration	RelatedDocumentErrorsView@Title	RelatedDocumentErrorsView	Related document errors view	Ошибки связанные с созданием документа
