ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_ru-RU	Translation_en-US
UiSchema	SubAgentExcelImportSuccessUiSchema	ui-label	Imported data	Imported data	Импортированные данные	Imported data
ViewConfiguration	SubAgentExcelImportSuccess	rootConfiguration	SubAgentExcelImportSuccess@Title	SubAgentExcelImportSuccess	Успешный импорт	SubAgentExcelImportSuccess
UiSchema	SubAgentExcelImportSuccessUiSchema	ui-label	Export	Export	Экспорт	Export
ViewConfiguration	SubAgentExcelImportSuccess	dataExport	SubAgentExcelSuccesfulImportsExport@ExportExcelSubAgentSuccesful	SubAgentExcelSuccesfulImportsExport@ExportExcelSubAgentSuccesful	Успешный импорт	ExportExcelSubAgentSuccesful
ViewConfiguration	SubAgentExcelImportSuccess	actors	OrganisationAdministrator	OrganisationAdministrator	OrganisationAdministrator	OrganisationAdministrator
UiSchema	SubAgentExcelImportSuccessUiSchema	ui-label	Import Document Id	Import Document Id	ID Импортированного документа	Import Document Id
UiSchema	SubAgentExcelImportSuccessUiSchema	ui-label	Full Name	Full Name	Имя пользователя	Full Name
UiSchema	SubAgentExcelImportSuccessUiSchema	ui-label	Username	Username	Логин	Username
