ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_ru-RU
DocumentRelation	CreditLifeInsurancePolicyCreateInsuredEventRelation	relations	relations@CreditLifeInsurancePolicyCreateInsuredEventRelation@Title	CreditLifeInsurancePolicyCreateInsuredEventRelation	Create InsuredEvent	Создать страховое событие
DocumentRelation	CreditLifeInsurancePolicyCreateInsuredEventRelation	rootConfiguration	CreditLifeInsurancePolicyCreateInsuredEventRelation@Title	CreditLifeInsurancePolicyCreateInsuredEventRelation	Create InsuredEvent	Создать страховое событие
