ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_ru-RU
PrintoutRelation	InvestmentLifeInsurancePolicyToMultiservicePrintoutRelation	printoutRelations	InvestmentLifeInsurancePolicy@InvestmentLifeInsurancePolicyToMultiservicePrintoutRelation		InvestmentLifeInsurancePolicyToMultiservicePrintoutRelation	Мультисервис
PrintoutRelation	InvestmentLifeInsurancePolicyToMultiservicePrintoutRelation	rootConfiguration	InvestmentLifeInsurancePolicyToMultiservicePrintoutRelation@Title	InvestmentLifeInsurancePolicyToMultiservicePrintoutRelation	InvestmentLifeInsurancePolicyToMultiservicePrintoutRelation	Мультисервис
