ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_ru-RU
PrintoutRelation	CreditLifeInsurancePolicyTomemoGeneticsPowerRelation	printoutRelations	CreditLifeInsurancePolicy@CreditLifeInsurancePolicyTomemoGeneticsPowerRelation		CreditLifeInsurancePolicyTomemoGeneticsPowerRelation	Памятка по сервису Генетический паспорт «Сила генетики»
PrintoutRelation	CreditLifeInsurancePolicyTomemoGeneticsPowerRelation	rootConfiguration	CreditLifeInsurancePolicyTomemoGeneticsPowerRelation@Title	CreditLifeInsurancePolicyTomemoGeneticsPowerRelation	CreditLifeInsurancePolicyTomemoGeneticsPowerRelation	Памятка по сервису Генетический паспорт «Сила генетики»
