ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_ru-RU	Translation_en-US
ViewConfiguration	LoadedDataFromXml	rootConfiguration	LoadedDataFromXml@Title	LoadedDataFromXml	Ошибка загруженных данных из XML	LoadedDataFromXml
ViewConfiguration	LoadedDataFromXml	actors	ChiefPaymentDistributor	ChiefPaymentDistributor	Администратор по распределению платежей	Chief Payment Distributor
UiSchema	LoadedDataFromXmlUiSchema	ui-label	Bank account no.	Bank account no.	Номер Счёта Банка	Bank Account No.
UiSchema	LoadedDataFromXmlUiSchema	ui-label	Bank statement no.	Bank statement no.	Номер Банковской Выписки	Bank Statement No.
UiSchema	LoadedDataFromXmlUiSchema	ui-label	Date	Date	Дата	Date
UiSchema	LoadedDataFromXmlUiSchema	ui-label	Statement identifier	Statement identifier	ID Выписки	Statement Identifier
