ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_ru-RU	Translation_en-US
DataSchema	UsersLoadedDataErrorsFromExcelDataSourceResultSchema	field-title	Import source id	Import source id	Import source id	Import source id
DataSchema	UsersLoadedDataErrorsFromExcelDataSourceResultSchema	field-title	Row number	Row number	Row number	Row number
DataSchema	UsersLoadedDataErrorsFromExcelDataSourceResultSchema	field-title	Record key	Record key	Record key	Record key
DataSchema	UsersLoadedDataErrorsFromExcelDataSourceResultSchema	field-title	Error type	Error type	Error type	Error type
DataSchema	UsersLoadedDataErrorsFromExcelDataSourceResultSchema	field-title	Raw data	Raw data	Raw data	Raw data
DataSchema	UsersLoadedDataErrorsFromExcelDataSourceResultSchema	field-title	Error message	Error message	Error message	Error message
DataSchema	UsersLoadedDataErrorsFromExcelDataSourceResultSchema	field-title	Mapping result	Mapping result	Mapping result	Mapping result
