ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_ru-RU
ViewConfiguration	StrategyConfigurationExcelFailedImports	actors	Administrator	Administrator	Administrator	Administrator
ViewConfiguration	StrategyConfigurationExcelFailedImports	dataExport	UsersExcelFailedImportsExport@ExportExcelUserFailed	UsersExcelFailedImportsExport@ExportExcelUserFailed	UsersExcelFailedImportsExport@ExportExcelUserFailed	UsersExcelFailedImportsExport@ExportExcelUserFailed
UiSchema	StrategyConfigurationExcelFailedImportsUiSchema	ui-label	Failed imports	Failed imports	Failed imports	Ошибки при импорте
UiSchema	StrategyConfigurationExcelFailedImportsUiSchema	ui-label	Export	Export	Export	Экспорт
UiSchema	StrategyConfigurationExcelFailedImportsUiSchema	ui-label	RecordKey	RecordKey	RecordKey	Ключ записи
UiSchema	StrategyConfigurationExcelFailedImportsUiSchema	ui-label	ErrorType	ErrorType	ErrorType	Тип ошибки
UiSchema	StrategyConfigurationExcelFailedImportsUiSchema	ui-label	ErrorMessage	ErrorMessage	ErrorMessage	Сообщение об ошибке
ViewConfiguration	StrategyConfigurationExcelFailedImports	rootConfiguration	StrategyConfigurationExcelFailedImports@Title	StrategyConfigurationExcelFailedImports	StrategyConfigurationExcelFailedImports	StrategyConfigurationExcelFailedImports
