ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_ru-RU
DocumentRelation	MedLifeInsurancePolicyCreateInsuredEventRelation	relations	relations@MedLifeInsurancePolicyCreateInsuredEventRelation@Title	MedLifeInsurancePolicyCreateInsuredEventRelation	CreateInsuredEvent	Создать страховое событие
DocumentRelation	MedLifeInsurancePolicyCreateInsuredEventRelation	rootConfiguration	MedLifeInsurancePolicyCreateInsuredEventRelation@Title	MedLifeInsurancePolicyCreateInsuredEventRelation	CreateInsuredEvent	Создать страховое событие
