ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_ru-RU	Translation_en-US
ViewConfiguration	DocumentStateHistoryView	rootConfiguration	DocumentStateHistoryView@Title	DocumentStateHistoryView	Статусы по документу	Document State History View
ViewConfiguration	DocumentStateHistoryView	actors	General	General	General	General
UiSchema	DocumentStateHistoryViewUiSchema	ui-label	validFrom	validFrom	Дата изменения	validFrom
UiSchema	DocumentStateHistoryViewUiSchema	ui-label	state	state	Статус	state
UiSchema	DocumentStateHistoryViewUiSchema	ui-label	changedByUser	changedByUser	Пользователь	changedByUser
