ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_ru-RU
ViewConfiguration	StrategyInstrumentsExcelFailedImports	actors	Administrator	Administrator	Administrator	Administrator
ViewConfiguration	StrategyInstrumentsExcelFailedImports	dataExport	UsersExcelFailedImportsExport@ExportExcelUserFailed	UsersExcelFailedImportsExport@ExportExcelUserFailed	UsersExcelFailedImportsExport@ExportExcelUserFailed	UsersExcelFailedImportsExport@ExportExcelUserFailed
UiSchema	StrategyInstrumentsExcelFailedImportsUiSchema	ui-label	Failed imports	Failed imports	Failed imports	Ошибки при импорте
UiSchema	StrategyInstrumentsExcelFailedImportsUiSchema	ui-label	Export	Export	Export	Экспорт
UiSchema	StrategyInstrumentsExcelFailedImportsUiSchema	ui-label	RecordKey	RecordKey	RecordKey	Ключ записи
UiSchema	StrategyInstrumentsExcelFailedImportsUiSchema	ui-label	ErrorType	ErrorType	ErrorType	Тип ошибки
UiSchema	StrategyInstrumentsExcelFailedImportsUiSchema	ui-label	ErrorMessage	ErrorMessage	ErrorMessage	Сообщение об ошибке
ViewConfiguration	StrategyInstrumentsExcelFailedImports	rootConfiguration	StrategyInstrumentsExcelFailedImports@Title	StrategyInstrumentsExcelFailedImports	StrategyInstrumentsExcelFailedImports	StrategyInstrumentsExcelFailedImports
