ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_ru-RU
PrintoutRelation	AccumulatedLifeInsurancePolicyToInvoiceForPaymentPrintoutRelation	printoutRelations	AccumulatedLifeInsurancePolicy@AccumulatedLifeInsurancePolicyToInvoiceForPaymentPrintoutRelation		AccumulatedLifeInsurancePolicyToInvoiceForPaymentPrintoutRelation	Квитанция на оплату
PrintoutRelation	AccumulatedLifeInsurancePolicyToInvoiceForPaymentPrintoutRelation	rootConfiguration	AccumulatedLifeInsurancePolicyToInvoiceForPaymentPrintoutRelation@Title	AccumulatedLifeInsurancePolicyToInvoiceForPaymentPrintoutRelation	AccumulatedLifeInsurancePolicyToInvoiceForPaymentPrintoutRelation	Квитанция на оплату
