ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_ru-RU
DocumentRelation	EquityLifeInsurancePolicyCreateLifeAmendmentCancellationRelation	relations	relations@EquityLifeInsurancePolicyCreateLifeAmendmentCancellationRelation@Title	EquityLifeInsurancePolicyCreateLifeAmendmentCancellationRelation	Cancellation	Расторгнуть
DocumentRelation	EquityLifeInsurancePolicyCreateLifeAmendmentCancellationRelation	rootConfiguration	EquityLifeInsurancePolicyCreateLifeAmendmentCancellationRelation@Title	EquityLifeInsurancePolicyCreateLifeAmendmentCancellationRelation	Cancellation	Расторгнуть
Rule	EquityLifeInsurancePolicyCreateLifeAmendmentCancellationRelationFlowRule	rule	validation@policyTransitionPreviousAmendmentInProgress	flowRule	E: validation@policyTransitionPreviousAmendmentInProgress	E: Операция недоступна, т. к. по договору имеется доп. соглашение, оформление которого не завершено
