ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_ru-RU	Translation_en-US
ViewConfiguration	UserActivityExcelLoadSuccess	actors	OrganisationAdministrator	OrganisationAdministrator	Администратор орг. структуры	OrganisationAdministrator
UiSchema	UserActivityExcelLoadSuccessUiSchema	ui-label	Loaded data	Loaded data	Загруженные данные	Loaded data
UiSchema	UserActivityExcelLoadSuccessUiSchema	ui-label	Username	Username	Имя пользователя	Roles
ViewConfiguration	UserActivityExcelLoadSuccess	rootConfiguration	UserActivityExcelLoadSuccess@Title	UserActivityExcelLoadSuccess	Отправка пароля на e-mail	SendEmail
