ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_ru-RU
PrintoutRelation	MedLifeInsuranceQuoteToKIDPrintoutRelation	printoutRelations	MedLifeInsuranceQuote@MedLifeInsuranceQuoteToKIDPrintoutRelation		MedLifeInsuranceQuoteToKIDPrintoutRelation	Ключевой информационный документ
PrintoutRelation	MedLifeInsuranceQuoteToKIDPrintoutRelation	rootConfiguration	MedLifeInsuranceQuoteToKIDPrintoutRelation@Title	MedLifeInsuranceQuoteToKIDPrintoutRelation	MedLifeInsuranceQuoteToKIDPrintoutRelation	Ключевой информационный документ
