ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	SkipFormat	Translation_en-US	Translation_ru-RU
ViewConfiguration	LoadedDataErrorsFromXml	rootConfiguration	LoadedDataErrorsFromXml@Title	LoadedDataErrorsFromXml	Y	Loaded Data Errors From XML	Ошибка загруженных данных из XML
ViewConfiguration	LoadedDataErrorsFromXml	actors	ChiefPaymentDistributor	ChiefPaymentDistributor		Chief Payment Distributor	Администратор по распределению платежей
UiSchema	LoadedDataErrorsFromXmlUiSchema	ui-label	SourceId	SourceId		Source ID	ID Источника
UiSchema	LoadedDataErrorsFromXmlUiSchema	ui-label	RowNumber	RowNumber		Row Number	Строка
UiSchema	LoadedDataErrorsFromXmlUiSchema	ui-label	RecordKey	RecordKey		Record Key	Ключ Записи
UiSchema	LoadedDataErrorsFromXmlUiSchema	ui-label	ErrorMessage	ErrorMessage		Error Message	Сообщение Ошибки
UiSchema	LoadedDataErrorsFromXmlUiSchema	ui-label	ErrorType	ErrorType		Error Type	Тип Ошибки
