ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_en-US	Translation_ru-RU
UiSchema	InvestmentProfitLoadedDataFromExcelUiSchema	ui-label	Excel row number	Excel row number	Excel row number	Номер строки Excel
UiSchema	InvestmentProfitLoadedDataFromExcelUiSchema	ui-label	Contract number	Contract number	Contract number	Договор страхования
ViewConfiguration	InvestmentProfitLoadedDataFromExcel	rootConfiguration	InvestmentProfitLoadedDataFromExcel@Title	InvestmentProfitLoadedDataFromExcel	InvestmentProfitLoadedDataFromExcel	БО
ViewConfiguration	InvestmentProfitLoadedDataFromExcel	actors	Administrator	Administrator	Administrator	Администратор
ViewConfiguration	InvestmentProfitLoadedDataFromExcel	actors	InvestmentProfitSpecialist	InvestmentProfitSpecialist	InvestmentProfitSpecialist	Специалист ДИД
UiSchema	InvestmentProfitLoadedDataFromExcelUiSchema	ui-label	InvestmentProfit calculation date	InvestmentProfit calculation date	InvestmentProfit calculation date	Дата расчета ДИД
UiSchema	InvestmentProfitLoadedDataFromExcelUiSchema	ui-label	InvestmentProfit rate	InvestmentProfit rate	InvestmentProfit rate	Размер ДИД
UiSchema	InvestmentProfitLoadedDataFromExcelUiSchema	ui-label	InvestmentProfit payment type code	InvestmentProfit payment type code	InvestmentProfit payment type code	Код типа выплаты
