ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_ru-RU	Translation_en-US
UiSchema	AAComments	ui-label	Comments	Comments	Комментарии	Comments
UiSchema	AAComments	ui-label	CommentMessage	CommentMessage	Текст	CommentMessage
UiSchema	AAComments	ui-label	CommentComment	CommentComment	Комментарий	CommentComment
UiSchema	AAComments	ui-label	created	created	Создан	created
UiSchema	AAComments	ui-label	edited	edited	Изменен	edited
ClientAction	AACommentsArrayPrepareAddOperationHandler	ui-message	NotAllowedToInteractWithComments	arrayPrepareAddOperationHandler	Нет прав на изменение комментариев	NotAllowedToInteractWithComments
ClientAction	AACommentsArrayPrepareAddOperationHandler	ui-message	SaveFirst	arrayPrepareAddOperationHandler	Пожалуйста, сохраните документ.	SaveFirst
ClientAction	AACommentsPreArrayOperationHandler	ui-message	CommentCannotBeEmpty	preArrayOperationHandler	Текст комментария не должен быть пустым	CommentCannotBeEmpty
ClientAction	AACommentsPreArrayOperationHandler	ui-message	CommentLengthTooLong	preArrayOperationHandler	Текст комментария слишком длинный	CommentLengthTooLong
