ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_ru-RU	Translation_en-US
DataSchema	AccountType	enum	accountType@Standard	Standard	Стандартная	Standard
DataSchema	AccountType	enum	accountType@Privileged	Privileged	Привилегированная	Privileged
DataSchema	AccountType	enum	accountType@Technology	Technology	Технологическая	Technology
