ConfigurationType	ConfigurationName	ItemType	TranslationKey	Expression	Translation_ru-RU	Translation_en-US
ViewConfiguration	UserPasswordExcelLoadSuccess	actors	OrganisationAdministrator	OrganisationAdministrator	Администратор орг. структуры	OrganisationAdministrator
UiSchema	UserPasswordExcelLoadSuccessUiSchema	ui-label	Loaded data	Loaded data	Загруженные данные	Loaded data
UiSchema	UserPasswordExcelLoadSuccessUiSchema	ui-label	Username	Username	Имя пользователя	Roles
ViewConfiguration	UserPasswordExcelLoadSuccess	rootConfiguration	UserPasswordExcelLoadSuccess@Title	UserPasswordExcelLoadSuccess	Отправка пароля на e-mail	SendEmail
UiSchema	UserPasswordExcelLoadSuccessUiSchema	ui-label	sendEmail	sendEmail	Отправка пароля на e-mail	sendEmail
